Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.05300569690801027,0.10961174288500909,0.1343459065357746,0.07224383640801388,0.10666045408477826,0.07326902454509704,0.1709317007913718,0.11546060410415762,0.07596696019983536,0.08850407353795199
1,0.0814529924127004,0.07245407164006752,0.09798501269227844,0.07835284379184565,0.14715420607578147,0.07305773420526362,0.1872112615895254,0.06840307517332217,0.09812853601236814,0.09580026640684722
2,0.0537509319207678,0.038741394060667435,0.11003576084461479,0.06225958048290152,0.22144412699627344,0.10348432595964702,0.1687795000467408,0.05139566470462795,0.09437323782318285,0.0957354771605764
3,0.053109717788509855,0.04806290742285149,0.08722562027016031,0.07969900210627556,0.1442880827617666,0.04985036564399754,0.23629067515073052,0.07576794688132711,0.09874217235050022,0.1269635096238808
4,0.1454787179158578,0.04062900695054578,0.08023280836220392,0.06561415471440007,0.14618446468659785,0.0804002966350898,0.10301853923993097,0.07761574678257349,0.16026937200641098,0.10055689270638943
