,importance
PR,0.1872112615895254
TR,0.14715420607578147
OL,0.09812853601236814
CL,0.09798501269227844
OR,0.09580026640684722
FL,0.0814529924127004
CR,0.07835284379184565
TL,0.07305773420526362
FR,0.07245407164006752
PL,0.06840307517332217
