,importance
TL,0.18264507024469576
PR,0.1625460405676644
CR,0.1178909290605453
FR,0.10027214120093213
TR,0.0966398503606177
FL,0.08600374827129173
OL,0.08419584401073775
OR,0.06067868831706135
CL,0.055620288535903534
PL,0.05350739943055032
