Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.06187758109133685,0.07932321908277555,0.106781479760873,0.07854647685590319,0.09864034804717046,0.17160927187460562,0.13903632303198385,0.14252223366312772,0.07194176011091748,0.04972130648130631
1,0.08600374827129173,0.10027214120093213,0.055620288535903534,0.1178909290605453,0.0966398503606177,0.18264507024469576,0.1625460405676644,0.05350739943055032,0.08419584401073775,0.06067868831706135
2,0.07119845621244202,0.08216915882540109,0.08078999845365428,0.08190002884024461,0.13124769135809156,0.08619700039770978,0.14768553252404343,0.0862746987989713,0.15585349229532083,0.07668394229412107
3,0.09969604647981693,0.07126635175736316,0.06142360193459583,0.09841544399589769,0.12635699893141558,0.10739146742533631,0.21985410523796875,0.05095539709640553,0.10678402451150168,0.05785656262969852
4,0.1299108679861257,0.15182438098888315,0.06841729389932953,0.05815590095298955,0.08035045581583973,0.09105153460318612,0.08029108156132508,0.0957531699012408,0.17230049299970193,0.07194482129137864
