,importance
TL,0.34202264236490604
OR,0.10537680261012865
PR,0.09441501486781703
FL,0.09143739453332032
OL,0.08488958694945078
FR,0.0779981631527861
PL,0.06420591399223034
TR,0.06134014842711883
CR,0.041431158467833934
CL,0.036883174634407996
