Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.04415094027509056,0.07704062553405729,0.07478912075828545,0.18402416211117884,0.06767976072576104,0.18613074261147214,0.06426097721714889,0.15952397762279186,0.03832602501309027,0.10407366813112379
1,0.12903576906162897,0.061665983819132575,0.07291809513408883,0.16662437959197596,0.06608889701300187,0.06749878536754203,0.058367238369243686,0.20887458444741,0.06696330189168352,0.10196296530429266
2,0.11968607304749469,0.05313212621193062,0.06269768894047194,0.11811744116925343,0.07018893250294991,0.1302114745925602,0.08833656213310294,0.15959008380761386,0.09341784516721816,0.10462177242740432
3,0.09176810265843019,0.09097103197419056,0.05755818416041421,0.17123811349812368,0.06268815358673142,0.1391147884814973,0.022375267143949017,0.1582200849839417,0.10042041289506658,0.10564586061765546
4,0.08037465191587713,0.02929471724338428,0.04436620084468046,0.08562858359527618,0.08630678032769964,0.07770565430950808,0.08601961727049993,0.09598563633190758,0.341284659911785,0.0730334982493816
