,importance
CR,0.17037554819305775
FL,0.1491638389013878
FR,0.1463664915815657
CL,0.1016869555216687
TR,0.10112970013203273
PL,0.07906809313446002
PR,0.07566375634302176
OL,0.061802839678502856
TL,0.05991001513096367
OR,0.054832761383339104
