Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.08938372937915619,0.048688954832369624,0.08566814482783477,0.10038782930767422,0.10040364723413754,0.09866151132613599,0.1814215854397238,0.07716167092534393,0.09066698380038048,0.12755594292724334
1,0.04463359740889788,0.07468702187400766,0.06627479443454273,0.07537307381002291,0.11421184647436536,0.14132519244293146,0.10633076358342705,0.16744666484174772,0.04847510001881984,0.1612419451112375
2,0.08161746894517982,0.06882447609234256,0.06463142558221352,0.08918788026776692,0.1468032364226026,0.14947080357759993,0.06158540200854416,0.09932085083204413,0.055936795121143426,0.18262166115056297
3,0.08831244801466674,0.08636637142471439,0.05940158169049646,0.10405773048134319,0.10886121220343659,0.14741760461025594,0.11259318721331903,0.09312128296659124,0.07982621685287065,0.12004236454230574
4,0.04698361455051822,0.08511423445953098,0.05502552195779284,0.07294227232267125,0.2056147277527175,0.17145428630738618,0.04402479590384278,0.12548935232288527,0.04490894739670919,0.14844224702594577
