,importance
PL,0.16744666484174772
OR,0.1612419451112375
TL,0.14132519244293146
TR,0.11421184647436536
PR,0.10633076358342705
CR,0.07537307381002291
FR,0.07468702187400766
CL,0.06627479443454273
OL,0.04847510001881984
FL,0.04463359740889788
