Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.06409459482829764,0.04588213391056875,0.08247969689764527,0.16356872002942038,0.0894743450759215,0.06042593663000574,0.20529960326947724,0.05916330962304263,0.11483782448577759,0.11477383524984339
1,0.08321534538720717,0.04549799977241854,0.07877046369960446,0.09235015867647278,0.14017404857593402,0.14685173740560145,0.12775524717361567,0.1106119228821313,0.04904280263314966,0.12573027379386503
2,0.14949450355531604,0.025360310519373333,0.0895966892773145,0.06864477616027993,0.16409931542288125,0.12620248792425492,0.061276534073312294,0.07391751677812468,0.057901620086204364,0.1835062462029386
3,0.12847989035810775,0.02959767011023812,0.074499053330409,0.06083165238226704,0.20068096369395094,0.1799639097953893,0.06737439913393724,0.07617969871972398,0.04921904460115151,0.13317371787482518
4,0.11678027766975736,0.037234788213829986,0.0658445586787781,0.06379274835773474,0.20693901245014554,0.14921167627615287,0.06756981310158888,0.05720785313462073,0.08413824501650594,0.1512810271008858
