,importance
TL,0.14685173740560145
TR,0.14017404857593402
PR,0.12775524717361567
OR,0.12573027379386503
PL,0.1106119228821313
CR,0.09235015867647278
FL,0.08321534538720717
CL,0.07877046369960446
OL,0.04904280263314966
FR,0.04549799977241854
