Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.07757981711180165,0.03562638240843074,0.1240832058275993,0.033066459974965476,0.05201451123558464,0.2233808043984484,0.2557926737814214,0.11164696909115192,0.026785716780151795,0.060023459390444775
1,0.08053533178251651,0.06023242688878286,0.12687590432710097,0.053872879849954314,0.04800829811191976,0.277343436370299,0.17203716090544635,0.0681109971882984,0.05751787906258374,0.05546568551309803
2,0.06648576101510303,0.11569420240993286,0.13153016562181505,0.07721231164049715,0.04549857997943735,0.19885408578978228,0.2006355013852087,0.06836016003422676,0.04546214032000505,0.05026709180399187
3,0.04352782738884764,0.1262084345638315,0.051711404252932254,0.03996987490237729,0.06561339367107234,0.10911706871448913,0.2786963481618873,0.1800192886174681,0.054990901116044065,0.050145458611050284
4,0.06437200128504872,0.06207550719861266,0.046830117577204435,0.03607033305714184,0.0309827523603153,0.09512776540275021,0.09089964199453313,0.3744898044355513,0.14025640097746053,0.05889567571138196
