Fold,R2,MSE,RMSE,MAE
1,-0.4833529091392139,455.7828857142858,21.34907224481396,19.482857142857142
2,-0.7368203739213806,201.27818333333332,14.187254256315184,10.738333333333335
3,-15.817822588832488,368.12345000000005,19.186543461499262,18.075
4,-0.49393556288271334,264.30210000000005,16.257370636114565,14.37
5,-0.2929418487702298,392.8029166666667,19.81925620871446,19.035
