Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.16886826416192147,0.05457419718511934,0.19038505337142048,0.115252325581544,0.06153072330036046,0.04593769115262678,0.1158901300197174,0.151755069954957,0.04900307449539126,0.0468034707769419
1,0.06660371930570542,0.10144265908829109,0.15089610566826134,0.07850421924357698,0.22203266336156396,0.11686212332992786,0.08308447551937302,0.06256179402324362,0.042769675703392,0.07524256475666476
2,0.07476656374011575,0.10166865606027,0.17643301655922278,0.08766218803365028,0.09876374277501714,0.08125165613753157,0.12337571859187059,0.025632656940498627,0.15503037260921348,0.07541542855260981
3,0.1078195104047585,0.17404609524308767,0.15487631483513842,0.10026811917454877,0.08931287849902368,0.07330396323556237,0.08893719629197971,0.07482385725638363,0.058285676381676206,0.07832638867784113
4,0.1491638389013878,0.1463664915815657,0.1016869555216687,0.17037554819305775,0.10112970013203273,0.05991001513096367,0.07566375634302176,0.07906809313446002,0.061802839678502856,0.054832761383339104
