Fold,criq,mmse,trog,reyfig,reyword,phonemic,semantic,denomdescr,span_for,span_back
0,0.2772741248285507,0.032135455298200666,0.07776168696574426,0.09659268207275372,0.08988004625928459,0.07939377389478393,0.09616728898758951,0.07778319949007997,0.11430227732998177,0.05870946487303096
1,0.15257633331342824,0.07041698226739806,0.07738396206170826,0.08912499842099568,0.06201844273614849,0.12687891449973768,0.21891201671748145,0.07008892637529215,0.045987282571682574,0.08661214103612735
2,0.15537972827313218,0.0525847199688366,0.11429157852906977,0.10404759351002202,0.19270011357941297,0.09657289436244848,0.09095723608483834,0.0774581949507118,0.04891044331661986,0.06709749742490798
3,0.10328923288410116,0.0426081340831406,0.15027074653409794,0.1177618331510137,0.14466482392784044,0.04077876165786658,0.20618256746302363,0.07049875557913086,0.026725605437477293,0.09721953928230784
4,0.1877274315352289,0.11330232727748955,0.04801332695563409,0.10976993462920498,0.06774999830457906,0.08095355379638398,0.11869520491621832,0.17456995013680074,0.06392218731357091,0.035296085134889466
