Fold,R2,MSE,RMSE,MAE
1,-0.6548118639930551,1454.157232679135,38.133413598563855,36.05335907348681
2,-0.606199307090951,793.7442977245997,28.17346797475596,25.931812410283793
3,-4.156810736523116,1250.4506422383108,35.361711528690336,31.435788242501662
4,-1.24526985765731,513.779235892147,22.666698830931402,17.020658313001196
5,-0.06209051933796017,908.3452339446097,30.138766297654087,25.904881335426285
