Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.29120582169816667,0.04469767009870465,0.11583215614297523,0.09674597176414178,0.09373034414971988,0.05580534517949604,0.09809548433042936,0.07297474575450641,0.06920863137793445,0.06170382950392552
1,0.08681468527831986,0.09300910882899854,0.16818295918295828,0.06286706705027217,0.13800338421377398,0.09802611780649784,0.08416785723678281,0.1235019798793418,0.06696176587078617,0.0784650746522686
2,0.06601435031451751,0.047752519446637276,0.15015294718816208,0.08211528686215509,0.1437760827681877,0.076134744055631,0.15032466479438086,0.047160032038076956,0.1617683564567582,0.07480101607549328
3,0.14314665494887274,0.11433012752042808,0.14037377318230834,0.06371478838660563,0.09755054233158258,0.09879984467672281,0.10970804138779056,0.0893536597355818,0.05609871872759001,0.08692384910251752
4,0.12624258385226708,0.10272255829287671,0.10087981503909668,0.07368242366155607,0.11237566212275395,0.0850780839570922,0.06346220794383095,0.16579960665908294,0.08592837430703186,0.0838286841644116
