Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.05807732164447052,0.0493292238960827,0.06962154948625253,0.030228621403536732,0.11493134106770758,0.1507091934561699,0.273986128493932,0.10060640395138745,0.10801802107823318,0.04449219552222751
1,0.10159965317177311,0.04590162210800316,0.09546565250156559,0.05558132568044992,0.0631985976984337,0.16157408499038045,0.28456279016270986,0.07806074060637773,0.06334851177151796,0.050707021308788694
2,0.11686381792896879,0.05773769740135611,0.1357328433979314,0.10345012703491424,0.06365456570345641,0.09097047505782573,0.2273694594108577,0.04513622077285233,0.07320693313184934,0.08587786015998793
3,0.1362126562261291,0.06076937810649757,0.03694501018070298,0.0898548438821435,0.07686807658023574,0.07715705906292966,0.3415824367522494,0.08792279460902425,0.060605291755322734,0.03208245284476509
4,0.06360908076417181,0.1605869744943175,0.0874510779178417,0.050039850869976636,0.05806735991511088,0.06737860921618241,0.1230921196944052,0.07872652493919328,0.24692598629718224,0.06412241589161836
