Fold,criq,mmse,trog,reyfig,reyword,phonemic,semantic,denomdescr,span_for,span_back
0,0.17618569043494967,0.036248097515473754,0.09505364676667748,0.0868125792600594,0.13057364081690317,0.05261569882182256,0.11075383114428064,0.17353034153427757,0.08611088768170942,0.052115586023846396
1,0.09221412172455214,0.04916554580860864,0.03812643376028529,0.12238061889727146,0.13992278100836816,0.06900287390349741,0.31018848819912975,0.07004898543708131,0.0557510279211589,0.05319912334004688
2,0.1280292179870904,0.045923090237014595,0.051574915231346725,0.07316121980543776,0.3330357953272402,0.09044819479489537,0.10358319972202702,0.11115559964982617,0.03960892156709229,0.023479845678029503
3,0.10667569085068991,0.03272200640211177,0.06340977279314489,0.15916493811122007,0.15119143007686273,0.06867939165253206,0.26132082417803953,0.07086161700832475,0.06011738547138909,0.025856943455685164
4,0.2559682675441758,0.040797562484151145,0.04040797965734559,0.12048899217223513,0.05866919172346093,0.05705550994306697,0.24958466024753276,0.07232222354905143,0.07118545766641185,0.03352015501256844
