Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.06425749598866046,0.041226838072170056,0.09397870266454429,0.028060798539386773,0.11256589208657798,0.2514076495871291,0.15478466005788805,0.1139564069627832,0.04751049272505873,0.0922510633158015
1,0.13187723927112627,0.0816633462640193,0.05580245028201525,0.07281894834359139,0.11042334913776639,0.18431958326863174,0.1182224301800325,0.05068435309012627,0.12447017717747329,0.06971812298521766
2,0.11824754270712765,0.03653566280527375,0.12173454558508899,0.030233599076434917,0.13366058503077538,0.1297927626289738,0.0912087815781308,0.06023865560390572,0.16152613570678448,0.11682172927750446
3,0.21238670241522511,0.03035152708362358,0.043718448654014724,0.10019068086136948,0.13483989890492956,0.09281309177760108,0.24427383226051658,0.03399711473208327,0.05868718221747936,0.04874152109315732
4,0.20141256390609538,0.09065480338026563,0.08357686556231896,0.0474847423018647,0.12145732476053236,0.12373411130569169,0.0859745089440815,0.04915503053833002,0.10624569155377216,0.09030435774704765
