,importance
TL,0.18431958326863174
FL,0.13187723927112627
OL,0.12447017717747329
PR,0.1182224301800325
TR,0.11042334913776639
FR,0.0816633462640193
CR,0.07281894834359139
OR,0.06971812298521766
CL,0.05580245028201525
PL,0.05068435309012627
