Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.041734689076629625,0.025765664482447007,0.08191946064519766,0.030450483124789537,0.062690074767945,0.43796936529829233,0.11064592180988168,0.07860974274570937,0.0759260247919609,0.05428857325714703
1,0.05986552409857384,0.04134810276372104,0.04375835091866777,0.017735478037298656,0.10905160730917023,0.4603800878730987,0.0528751330916109,0.054772638453027524,0.04865816554543029,0.11155491190940123
2,0.06560847246165138,0.03525941364919797,0.0424243942949784,0.03258036406193787,0.13231679588100945,0.47647095100553155,0.038121781783511,0.04685743467271237,0.05126490306643531,0.0790954891230347
3,0.05714151678483014,0.021182315682954662,0.03537312471255276,0.04505962434773618,0.07047148197731558,0.46435577530917643,0.03380723128626712,0.09680743336057225,0.033508417508547966,0.142293079030047
4,0.028157513531731043,0.009397617789870872,0.03866552949629095,0.006518382640679045,0.13981088402463474,0.6240908245960382,0.03968441150857821,0.038062367245388376,0.04473550319104786,0.0308769659757408
