,importance
TL,0.46435577530917643
OR,0.142293079030047
PL,0.09680743336057225
TR,0.07047148197731558
FL,0.05714151678483014
CR,0.04505962434773618
CL,0.03537312471255276
PR,0.03380723128626712
OL,0.033508417508547966
FR,0.021182315682954662
