Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.05950434155077928,0.06567046761191986,0.07655390901457836,0.05216982598411667,0.0840331669731647,0.27280780346827027,0.15408489556636126,0.053551470045727884,0.08843251464630474,0.09319160513877701
1,0.09143739453332032,0.0779981631527861,0.036883174634407996,0.041431158467833934,0.06134014842711883,0.34202264236490604,0.09441501486781703,0.06420591399223034,0.08488958694945078,0.10537680261012865
2,0.09698700910054657,0.10356993650705382,0.08162659501259459,0.04110284251412935,0.048031349769661974,0.3603202042189632,0.05725641501689634,0.060805955231673404,0.06053510448187717,0.0897645881466035
3,0.06228375922265871,0.12417697359898724,0.041592689562298404,0.034694585647523805,0.041062383627443834,0.3166875927965415,0.07516974468929308,0.06310944274089275,0.10192622692132909,0.13929660119303156
4,0.07115413513145678,0.08653770662491161,0.06578522743854505,0.04607617642129204,0.10543860223975783,0.3574510220559042,0.04481036867026913,0.04062732091360968,0.07701697290252262,0.1051024676017312
