Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.11390803023840503,0.0394360977735377,0.15669993456606965,0.023121449136639112,0.04171052551637251,0.25581788558639074,0.08923166435839468,0.09945159007249327,0.05775793022388662,0.12286489252781065
1,0.1993063708834758,0.027802749920707817,0.1957475281322862,0.053514961426444005,0.038257226809290897,0.1787761956397977,0.1283377857910453,0.04964679165266106,0.04953928757357921,0.07907110217071202
2,0.10794255975191216,0.04618454133138074,0.24812267010541805,0.062053735082015574,0.05372297633360286,0.15002635281218218,0.14638593756568807,0.0349402958435532,0.051745506655758174,0.09887542451848902
3,0.11059031136796336,0.05856030254078198,0.16147287568722665,0.07324080045738948,0.05560858109155123,0.09404156527759244,0.2909683592466072,0.04562529935676113,0.06285172238166481,0.04704018259246173
4,0.21450961367470978,0.0458022072990036,0.1354539897753434,0.0479353837263815,0.050521147672576705,0.08979147563559119,0.1530336415729323,0.09577507509021083,0.07076347352941029,0.09641399202384049
