,importance
FL,0.1993063708834758
CL,0.1957475281322862
TL,0.1787761956397977
PR,0.1283377857910453
OR,0.07907110217071202
CR,0.053514961426444005
PL,0.04964679165266106
OL,0.04953928757357921
TR,0.038257226809290897
FR,0.027802749920707817
