Fold,criq,mmse,trog,reyfig,reyword,phonemic,semantic,denomdescr,span_for,span_back
0,0.13625553263292464,0.09512817316148763,0.05358710241784442,0.07882507742374256,0.06711509473324302,0.09755051009392501,0.05800805743193029,0.24605461762269779,0.09143149042615382,0.07604434405605082
1,0.09400764610008513,0.03780762571269588,0.024081175138977902,0.09544525098194356,0.12144791387409438,0.08061961527441763,0.2760797464133007,0.07417291236963239,0.06851783775642649,0.12782027637842594
2,0.10481674118521675,0.06273050807365912,0.03937089723828565,0.07454482011397426,0.2455239511816587,0.08582024941727807,0.179498579471584,0.06343097318860003,0.07350169846518206,0.07076158166456131
3,0.06228691304693517,0.03451755679877388,0.07506407062397959,0.11714609221595616,0.09805761252151901,0.04754611222414461,0.3458466482918085,0.05566711414194948,0.029204144303938823,0.13466373583099486
4,0.20945097249988184,0.1524926241115325,0.030689664650072803,0.10231131888408841,0.04527160092765148,0.04223140519277133,0.2592628547091908,0.03276276585421971,0.06606908213714358,0.05945771103344761
