Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.05867417188338751,0.058150879236936855,0.08608100662793688,0.13655345730136598,0.10902186046052034,0.11669118813667331,0.1252667317639853,0.07672919500919613,0.08240290151347278,0.150428608066525
1,0.05762262556866206,0.09796874896879779,0.13516964907415813,0.10918603820009284,0.07720392912907019,0.13197849138782516,0.09860320858944395,0.08204011274311787,0.060625014687215484,0.14960218165161657
2,0.12143436778114207,0.042923422104951356,0.056840155909801994,0.1261521232327754,0.10543924374061658,0.12302821943178016,0.07991286430364833,0.13185376071110771,0.05574375115375815,0.15667209163041826
3,0.06758138083703118,0.05152676103924332,0.10423899513433586,0.06005659648123087,0.1249760412927266,0.153226288220072,0.11704575435164952,0.1463352024992772,0.06696780540294313,0.10804517474149039
4,0.07363697050956097,0.09561466440398539,0.07456459573115269,0.0977108328258288,0.11432904067217388,0.1984229841851263,0.07032891320459012,0.04363630354557979,0.06885269721471626,0.1629029977072858
