,importance
FL,0.20141256390609538
TL,0.12373411130569169
TR,0.12145732476053236
OL,0.10624569155377216
FR,0.09065480338026563
OR,0.09030435774704765
PR,0.0859745089440815
CL,0.08357686556231896
PL,0.04915503053833002
CR,0.0474847423018647
