,importance
TL,0.223461757755182
OR,0.21336848006432294
PR,0.10644225704191385
TR,0.08846866412087875
PL,0.07890640073784817
FL,0.06666851044947662
FR,0.0657492430551365
CR,0.06474175838646481
CL,0.057440984412509666
OL,0.034751943976266714
