Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.18789569127600425,0.03345493917396483,0.08034234805133998,0.0798620290030277,0.10064512281214344,0.054259909853996466,0.20274655901320393,0.1270279485379755,0.09011332538990714,0.04365212688843682
1,0.06470382841186324,0.09267183645562303,0.11779788648885897,0.06603489888855897,0.09923571961598901,0.11648968316471794,0.17473865476270153,0.08501027567434054,0.09720637179628638,0.08611084474106039
2,0.043641974326090606,0.052568084781894814,0.12593278152513615,0.06472866365560496,0.11264341093837676,0.09568429127547388,0.13148961133203377,0.02575040374436569,0.20457105434790215,0.14298972407312127
3,0.08802372162677377,0.12496489427228902,0.16599403451331107,0.05547292871391606,0.09483032592341571,0.13299963861815248,0.12941007088101392,0.052011030288164076,0.034426757693647815,0.12186659746931618
4,0.1221985861567613,0.13935513995681298,0.11672615873471545,0.06401289824928852,0.08904486672403995,0.08844738020449039,0.07030558082236804,0.03866428939504182,0.10765507446703385,0.16359002528944766
