Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.06254196059397416,0.050374638833296764,0.07875951382997874,0.1222579044543518,0.041313288159362936,0.08776629839162618,0.17541373906909527,0.17748068299672798,0.09424079353603006,0.10985118013555624
1,0.08956782802810585,0.0803651571058052,0.10034076113423557,0.17167442378950112,0.07643369080703578,0.06708376031371246,0.08533278528231394,0.1410357789479245,0.0445933887788272,0.14357242581253832
2,0.06261577304587877,0.11778866042757746,0.07562847941239431,0.09751016241024199,0.06379539304783004,0.0751755409411063,0.13905998401545255,0.13131824310897014,0.055517473069193246,0.18159029052135522
3,0.1021861375244273,0.12562834023214575,0.0637781221468355,0.1684473663707596,0.05666441681203452,0.10836421174723379,0.08974944247636821,0.1210787183417985,0.09585909643402223,0.06824414791437464
4,0.06275101957713772,0.05266717738245299,0.05687108312371403,0.09821547175041676,0.08259507974043181,0.1679200427434093,0.06085026653096477,0.04968676483464364,0.29513531104211504,0.07330778327471393
