Fold,FL,FR,CL,CR,TR,TL,PR,PL,OL,OR
0,0.07251249971307468,0.05569339097187081,0.076735924715077,0.037517216291621615,0.10686389552459734,0.2871819968405587,0.13658976701065742,0.06189360469904155,0.10307555619050322,0.061936148042997685
1,0.06666851044947662,0.0657492430551365,0.057440984412509666,0.06474175838646481,0.08846866412087875,0.223461757755182,0.10644225704191385,0.07890640073784817,0.034751943976266714,0.21336848006432294
2,0.06646384078041559,0.059070301977619415,0.0617741105496102,0.07718407064100598,0.11941059027396216,0.2680301507554691,0.09736498565200004,0.052282365653544785,0.051306306827090864,0.14711327688928177
3,0.09492005001289398,0.09583901283773198,0.04494605613279709,0.04608793949306477,0.052206749943782126,0.24877487569079906,0.054906558444342786,0.12376308778288282,0.05464354562973722,0.18391212403196813
4,0.08164845092528321,0.05020761993386468,0.03933696407558547,0.04728845513394761,0.14036666777765847,0.283042238027953,0.11163552395437928,0.08692253372746682,0.05119516835374507,0.1083563780901165
